0.0,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0
0.25,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
0.5,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
0.75,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
1.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150107.8090790567
1.25,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150114.80508259582,153285.8256927819,157362.92194464753,161750.7141808708,166400.527849543,171276.027713505,176345.28070206227
1.5,150000.0,150000.0,150000.0,153481.97772867174,159045.26503785703,165071.3488898719,171620.29071788827,178545.02120184802,185775.15224816362,193267.84760358787,200985.44861303185,208626.1989439419,216692.61943785922
1.75,150000.0,159449.31778916487,167530.73723098444,176059.95216053887,185240.53095022903,194845.43379771116,204553.1153833141,214777.1513920514,225255.4439072235,235657.4285797578,246528.42803504018,257537.78235051353,268388.49687429465
2.0,150000.0,184084.1173774158,196051.30204816046,208475.0026062825,220975.44575692012,234010.63952785378,247031.0137027959,260514.2981742105,273919.4047441663,287711.9029293804,301349.2493689558,315284.44073927245,328992.24270295224
2.25,150000.0,217625.5672825009,233497.76120971647,249264.8258646585,265413.61888981925,281476.8705611252,297676.9412739487,314095.0201907855,330176.21868416265,345967.9769873651,361722.81815213873,377681.1912768784,393563.4273232662
2.5,150000.0,258730.54396959057,278394.6949234069,297663.4714653902,316564.80949540425,335161.6446502816,353564.01440550573,372019.2043402459,390533.5696133988,409114.85311447835,427637.66775726643,446215.09230800904,464698.85385823215
2.75,150000.0,306404.9660159037,329224.23788667185,350799.78053022537,372165.22639252886,393448.32430324354,414722.7307887104,436028.38539461035,457270.0981756196,478529.02712775924,499708.20356198645,520772.74850995775,541832.5329179561
3.0,150000.0,358536.85165301757,384670.9622733898,409373.19808797684,433671.886275812,457839.6720968954,481897.3018654589,505826.70619170327,529656.3371333829,553428.446412253,577043.7792489006,600505.7208876569,623893.0490879791
