0.0,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0.25,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
0.5,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150018.76940392307,150214.64028224652,150641.80407211924
0.75,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150166.44296159316,151237.6295088724,153131.77582668592,155691.64605469795,158652.36066768202,162221.7531936946,166208.94587957065,170565.78934944794,175243.1161206505,180222.00178985693,185471.5308569555,190634.09150618128,196336.44759464043,202249.5444774374
1.0,150000.0,150000.0,150017.81305290235,151777.2174679225,155807.7428670422,161245.29279982275,168028.69593690638,175772.89275796723,184313.98342891395,193530.74274723555,203325.36517704968,213628.15976301552,224383.06517860625,235533.3331956568,246595.8192585465,258413.34955416073,270523.78448945726,282904.68656884856,295526.51713296433,308369.87024732365,321412.3117854804
1.25,150000.0,157916.77374102263,167878.25824716178,179925.25645921502,193173.38405997714,207929.5412058398,223669.14743292943,240221.167326893,257020.37684629142,274834.21525770915,293161.33437487297,311926.7824827839,330570.823722312,350041.05994311115,369806.16493913665,389811.73042871896,409504.58262064826,429892.009800298,450414.79416317405,471028.2006328604,491209.4075846823
1.5,150000.0,195608.95021219013,216998.98232833945,239304.9688891108,263138.7796600675,287407.1964365975,312875.3316210647,338456.1928897325,365015.75975963374,391461.0689560529,418700.56976584275,445656.9691867625,473171.96164438897,500288.198636105,527725.9301341448,554432.7214644861,578152.6433239449,601248.9233990035,624046.0310532707,646847.0471077081,669280.2007278706
1.75,150000.0,262938.9811101493,295591.8847664092,328750.50915917597,362476.33135315747,397125.1539581473,431564.30746580224,466122.62462548167,500624.59209317545,534744.7546623122,566380.0531392444,595722.5482490207,624805.8389379317,653592.0628033006,682320.5603774566,710448.7095877685,738186.1855218268,765835.9673441804,792757.8812134276,819267.439471468,845564.777259057
2.0,150000.0,357480.5401910321,400803.2143392856,443882.9203176458,486195.6529351817,528139.8689088809,566716.5562444857,602835.454800944,638427.3288539064,673490.5337488566,708163.9852897793,742421.750794361,776013.7214334972,808870.8693332472,841193.9234185811,872715.6939404377,903405.4318340197,933198.7826851389,962304.1029413331,990497.0854598108,1017417.3137083321
2.25,154809.45847810677,473745.42807668913,525608.5831485837,571930.2298439228,614968.9657398686,657357.7185125474,699089.4470250276,739898.5968396446,779929.2812962162,819155.1100107537,857277.7235486789,894244.1607154433,930219.1540739881,964905.0585567148,998280.6771365921,1030245.9960435795,1060801.6958854948,1089837.2551189663,1117125.8791157566,1142773.338271339,1166453.7113604904
2.5,169383.61827411564,596711.6860040714,649226.2597324284,698791.4502690954,746828.3868921796,793590.3411130192,838864.8328214773,882843.0357214236,925172.4781057588,965893.8012022552,1004851.6658209802,1041764.4837306102,1076780.2687557302,1109557.6131390112,1139802.3037903188,1167869.4285269824,1193054.0116365938,1215677.2706274008,1235120.7441222735,1251792.5152211948,1265411.7842122149
