0.0,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0
0.25,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
0.5,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
0.75,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
1.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150107.78421301694
1.25,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150114.77124333326,153284.23102044853,157358.88153707783,161743.7932616469,166390.239767173,171261.83968924958,176326.82293180833
1.5,150000.0,150000.0,150000.0,153479.90621523338,159039.01126615578,165060.10587610223,171603.20600703062,178520.76485536547,185743.01566489338,193227.06779226149,200934.87045456088,208565.75733297307,216620.74332799486
1.75,150000.0,159441.23207037477,167514.57442761128,176034.22838070727,185203.3197235271,194795.3243597706,204488.69250197086,214696.6019927161,225157.52055841612,235541.92964578985,246386.78929568487,257381.33470191184,268211.16607705783
2.0,150000.0,184042.12912936174,195990.66109615943,208393.49350813613,220871.91890986977,233882.2772866803,246880.20284055898,260331.65638319677,273707.49427071505,287467.71506049513,301078.2858564849,314978.1280799509,328652.44941407425
2.25,150000.0,217509.73251604027,233352.52002563135,249085.47459315564,265194.1203109286,281225.37880067196,297382.7762980352,313761.381835705,329802.82599258993,345556.3562619275,361265.19103498454,377179.154652606,393017.6224481484
2.5,150000.0,258504.23022799942,278122.17358966277,297338.6354085351,316193.4450715546,334743.7666065108,353095.6750883821,371497.44648750353,389963.504200289,408482.07098314253,426954.2658434967,445471.9252034905,463896.95353117655
2.75,150000.0,306024.230127027,328785.0095907994,350299.300178307,371602.03621756524,392818.91993806197,414026.43975101796,435268.36008127,456436.4647684595,477634.17009491054,498740.01476796926,519729.70083408983,540718.4227241803
3.0,150000.0,357971.40687076614,384028.0562756077,408641.6540359692,432860.5963551147,456957.6171062434,480926.6090575197,504776.05145118723,528595.6186068931,552209.9051945005,575741.0732948727,599216.0451776148,622428.5713033349
