0.0,0.0,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2,4.4,4.6,4.8,5.0,5.2,5.4,5.6,5.8,6.0,6.2,6.4,6.6,6.8,7.0,7.2,7.4,7.6,7.8,8.0,8.2,8.4,8.6,8.8,9.0,9.2,9.4,9.6,9.8,10.0
0.25,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
0.5,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
0.75,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
1.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150107.78421301694,150741.4769278747,151715.32096691724,152772.05393071182,153842.18848983778,154932.41492450555,156090.93282542712,157228.38675575057,158377.27857595915,159633.5740683346,160825.3762488971,162027.77900270358,163361.37289413423,164601.71925963112,165848.43286254475,167258.27176966093,168536.0500335804,169993.28964364761,171298.060632183,172617.99501073145,174134.37141342773
1.25,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150114.77124333326,151054.16802879339,152507.26455197143,154082.32275088958,155696.77372666987,157358.88153707783,159063.65531576614,160899.29091849108,162695.89915306773,164528.72117618372,166390.239767173,168286.98974779135,170363.67368515994,172324.3344658122,174314.41547851285,176326.82293180833,178555.45717374774,180624.18886252475,182709.14849329373,184818.34476188774,187173.75587333456,189327.52006458712,191499.8561863823,193686.21082165948,195891.14578625865,198374.99741550488,200615.6873553487,202871.51197108172,205142.6638272731,207713.56465681436,210016.28057226408,212330.2881150539,214657.07932278144,217303.98629923124,219658.5854080736,222024.78678238345
1.5,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150671.23803066107,152452.1563589469,154517.21977195953,156717.9078720907,159039.01126615578,161378.75578548436,163885.00808796962,166359.0795412723,169019.1043215342,171603.20600703062,174393.91717660325,177075.7884116412,179976.8216839651,182740.39492466516,185743.01566489338,188577.14405208235,191664.4204280797,194562.09354947918,197729.2515213853,200934.87045456088,203915.45237561272,207187.72061876257,210218.30850848206,213547.38498955767,216620.74332799486,220004.1230243255,223121.93462423587,226551.63022370258,229703.8432840786,233179.44752686968,236367.55701813882,239887.58207017597,243104.970447457,246658.64299188383,250229.16022084968,253499.17549939294,257103.53082029475,260397.48976130367,264031.9405536089,267352.31082195626,271015.13169888954,274359.55646905536,278037.847286299,281404.4583690814,285105.80792776553
1.75,150000.0,154714.29140890934,157901.16568857944,160991.62408794023,164147.94032380314,167514.57442783084,170861.441983151,174292.8439841538,177968.20432456784,181555.6217447827,185203.3197235271,188911.15134197698,192891.07186757776,196712.7894609174,200576.9117295798,204488.69250197086,208689.93471080568,212687.21842498454,216721.27962601068,220787.2896812585,225157.52055841612,229290.90582141982,233451.75432021005,237642.96107520338,242145.01848863641,246386.78929568487,250650.63998099446,254935.0292140662,259533.72659875252,263864.73177799134,268211.16607705783,272577.27510415844,277255.3903839697,281655.61983525,286073.0184878288,290503.9264852497,295228.54048981087,299687.15980772686,304150.89359364664,308624.7600378476,313365.7880395615,317859.81377522065,322346.7370173688,326853.1561037867,331553.35202209576,335850.9150031353,340152.90419414727,344454.94288047904,348980.7926689531,353305.0252108182,357631.19597163773
2.0,150000.0,176350.2691574437,181543.6551560534,186520.226968265,191246.10292825868,195990.66109615943,201006.13156834975,205838.6838703853,210963.84901546396,215896.8474397429,220871.91890986977,226145.71222107392,231208.27941795884,236559.04861364595,241694.40285447877,246880.20284055898,252338.90605765517,257574.57852249595,263095.81623847055,268391.01591388904,273707.49427071505,279295.23295463464,284653.1371319331,290269.90816990676,295672.54334683536,301078.2858564849,306720.75636924093,312157.7867348263,317774.9339219982,323216.3750092228,328652.44941407425,333939.3638422643,339237.85311766405,344548.3719546202,349867.3311731979,355191.752173053,360537.3899909487,365709.79454479745,371068.70192995167,376435.6230687062,381811.575712517,387013.6344811813,392406.39873034187,397805.58482464036,403027.12846084556,408441.14894232346,413669.56394978584,419101.28682384966,424337.107824283,429784.82770049473,435041.5888905891
2.25,150000.0,206633.88765425785,214057.47089954486,220640.22452294253,227023.54615600564,233352.52002563135,239677.9297197222,246021.53572371637,252385.0938527919,258778.23011470897,265194.1203109286,271633.5271684699,278096.36881871015,284578.36502231477,290865.83999730885,297382.7762980352,303903.03383062396,310424.72746752587,316941.63006433425,323436.7456569192,329802.82599258993,336072.49000840686,342354.449296667,348760.16027090437,355071.4479673102,361265.19103498454,367601.2855714804,373938.621793537,380289.0913335749,386649.43325514655,393017.62244787684,399400.3286661628,405643.02417547087,412040.6971035251,418303.3030956951,424712.1163900003,431129.6127410484,437401.50980257284,443833.9173750442,450119.93814483535,456415.01517924835,462864.4681671439,469172.61524558114,475464.31982219045,481767.01659044006,488071.1082838795,494560.69719251787,500880.90500671446,507192.42182110914,513514.4076818212,519837.1938647179
2.5,150000.0,244659.40802261778,254393.91511461666,262464.6879249595,270367.69064167264,278122.17358966277,285808.7064537736,293446.4701314121,301053.7582124645,308645.5135904091,316193.44507122715,323686.25276146195,331039.9081567771,338400.1386186039,345778.55019993783,353095.6750883821,360500.8316374847,367827.53747584525,375256.7862452161,382608.27061937796,389963.504200289,397422.88156640047,404799.98670205777,412176.0237456353,419560.20251350396,426954.2658434967,434357.5588035015,441766.58854130574,449181.9034541322,456605.0803460427,463896.95353117655,471320.10430611577,478766.3707671532,486071.64506951964,493513.48403462046,500822.35179074877,508117.5617382277,515568.5929558794,522873.2345084209,530181.8952629145,537494.0970382388,544801.2371873169,552123.9342602722,559430.1787388083,566733.1098376955,574043.9909441568,581186.930382952,588490.4242066724,595790.749353223,602923.1916219479,610223.3768279611
2.75,150000.0,288919.37206448504,301063.46418978926,310837.92321906047,319967.39063421614,328785.0095907994,337432.6872934619,346003.0269122366,354563.0638339481,363067.89307851996,371602.0362177415,380088.6739898614,388574.8395133353,397053.2964064366,405542.9907872685,414026.43975014926,422520.3829618834,431010.45633843925,439513.2955381305,448014.5700390996,456436.4647684595,464953.2200978899,473369.8211015787,481787.0909089581,490318.9671919922,498740.01476796926,507161.09641552303,515582.9093910411,524002.46980090573,532421.7539110862,540718.4227241277,549133.2082158762,557538.2939704321,565821.8235495922,574096.546682377,582505.8143239403,590780.4447881829,599038.5309023388,607301.9740977121,615554.6421303191,623798.8482230176,631884.6687787474,640109.0608018617,648329.1992164928,656385.8303936585,664453.170101688,672622.8324495282,680658.9827465977,688681.1206127679,696686.800575244,704686.0475836995
