0.0,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0.25,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
0.5,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150018.77122572562,150214.6624015309,150641.87387444853
0.75,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150166.47040466123,151237.85332213438,153132.39629542292,155692.86167243795,158654.3308487007,162224.7328852712,166213.1647401101,170571.4904379379,175250.55136246636,180231.44817836603,185483.49888277642,190648.19877697347,196353.41077383774,202269.68405205177
1.0,150000.0,150000.0,150017.81715443032,151777.69073491803,155809.4920445353,161249.47694509922,168035.39972759184,175783.47271033627,184329.44030068174,193552.41225491316,203353.86781263156,213664.90680515658,224428.68527329806,235590.26496736196,246663.90203903784,258494.2964048169,270619.6883964534,283017.10352160054,295654.77241917764,308517.56642500975,321579.08162124635
1.25,150000.0,157920.0956949785,167887.01322042884,179942.11133310446,193200.82222543014,207970.71256817394,223727.5230618029,240301.09846948192,257121.57477279613,274961.801041035,293320.41930894624,312117.5109970849,330796.4563572935,350306.316859395,370111.44113366917,390161.54932089825,409901.4245448266,430337.3909587077,450911.33291709865,471577.5007236646,491795.2066019081
1.5,150000.0,195646.3675171144,217063.26292626048,239400.70980912558,263274.3750687881,287588.7247954769,313109.6659202963,338746.8682532294,365370.34932062466,391883.16283623234,419195.87614578515,446223.6374386854,473814.8172212963,501018.2799018758,528524.9235656746,555302.3650854814,579101.090097293,602267.9634248466,625111.9652907185,647963.7575745324,670476.4903532688
1.75,150000.0,263103.59948258597,295829.3729980098,329070.6124096075,362889.18085686874,397632.009016072,432177.21440008364,466847.26298584556,501452.0218634258,535674.4778140665,567401.051091507,596828.2830107136,625999.6482146131,654874.7831188823,683422.8586990248,711887.5937025722,739716.8416048766,767160.1460131702,794441.9475040834,821005.690536568,847122.4774597252
2.0,150000.0,357949.1572823383,401411.6041058262,444640.44706834236,487089.0103154752,529179.4394041057,567861.7589975961,604079.348148447,639575.3136542338,674947.3858087602,709749.1370739398,743875.2789253475,777559.7016011315,810515.6856817511,842939.1373130996,874539.6043879072,905291.1328233996,935164.2032814065,964313.3273448434,992301.875234012,1019526.2941018441
2.25,154810.6023159662,474717.86181353964,526772.4946044908,573218.9013825391,616390.8804496119,658928.2298312534,700619.6492081141,741555.2576214937,781703.5080333311,821046.0755653005,859260.775373414,896321.5199756988,932370.4865635631,967127.1410623582,1000569.2017259706,1032582.967925408,1062942.4654902031,1092011.2552289283,1119267.1672917255,1144687.47702827,1168328.8156875544
2.5,169390.4660532698,598147.5885456834,650823.2912194976,700653.9877121141,748847.7780813664,795599.0506123193,841025.7363329472,885091.019057319,927515.1574443863,968154.663477431,1007180.7181192639,1044137.7249646353,1078983.7323649842,1111734.6141209763,1141939.111760905,1169769.7719303828,1194877.4178644477,1217177.8392901109,1236531.748709596,1253084.720361499,1266527.874380758
