0.22153889	0.001466104
0.371893739	0.001466104
0.522248587	0.001466104
0.672603435	0.001466104
0.822958283	0.001466104
0.973313131	0.001466104
1.123667979	0.001466104
1.274022827	0.001466104
1.424377676	0.001466104
1.574732524	0.001466104
1.725087372	0.001466104
1.87544222	0.001466104
2.025797068	0.001466104
2.176151916	0.001466104
2.326506765	0.001466104
2.476861613	0.001466104
2.627216461	0.001466104
2.777571309	0.001466104
2.927926157	0.001466104
3.078281005	0.001466104
3.228635854	0.001466104
3.378990702	0.001466104
3.490617786	0.007490157
3.502008305	0.320740926
3.502008305	0.323740926
3.502008305	0.326740926
3.502008305	0.329740926
3.502008305	0.332740926
3.502008305	0.335740926
3.502008305	0.338740926
3.502008305	0.341740926
3.502008305	0.344740926
3.502008305	0.347740926
3.502008305	0.350740926
3.502008305	0.353740926
3.502008305	0.356740926
3.58402004	0.343393358
3.734374888	0.330150398
3.884729736	0.316110869
4.035084585	0.302469624
4.185439433	0.289425806
4.335794281	0.276879844
4.486149129	0.265628307
4.636503977	0.254874625
4.786858825	0.244917512
4.937213674	0.235956111
5.087568522	0.227890849
5.23792337	0.220721728
5.388278218	0.214647889
5.538633066	0.209768904
5.688987914	0.205387774
5.839342763	0.201803214
5.989697611	0.19881608
6.140052459	0.196426373
6.290407307	0.194534521
6.440762155	0.194036666
6.591117003	0.193140525
6.741471852	0.192941383
6.8918267	0.194235808
7.042181548	0.194733664
7.192536396	0.196625515
7.342891244	0.19881608
7.493246092	0.201703642
7.643600941	0.205188632
7.793955789	0.20857405
7.944310637	0.213950891
8.094665485	0.22092087
8.245020333	0.229782701
8.395375181	0.240934667
8.54573003	0.255272909
8.696084878	0.272697857
8.839605415	0.295878016
8.962623018	0.320604016
9.058303376	0.343924404
9.140315111	0.368385711
9.215492535	0.394234376
9.277001336	0.418221061
9.331675827	0.443412556
9.379516006	0.468056411
9.43077334	0.494617009
9.469728915	0.518001289
9.50936792	0.545091274
9.549006925	0.576095068
9.570876722	0.600220488
9.598213967	0.624681795
9.625551212	0.653432959
9.652888457	0.683279404
9.687060013	0.716320424
9.714397258	0.752464743
9.737633917	0.788974157
9.764515541	0.828404324
9.795042132	0.870244112
9.810077616	0.901788245
9.816911928	0.925884458
9.833997706	0.953266519
9.847666328	0.984482067
9.866118969	1.020735915
9.871586418	1.048556088
9.887988765	1.079881165
9.901657387	1.119092276
9.91532601	1.159179612
9.928994633	1.200143174
9.942663255	1.242859188
9.956331878	1.281632186
9.9700005	1.321281409
9.983669123	1.373635908
9.967266776	1.353044599
9.997337745	1.425552294
9.980935398	1.405618154
10.0116898	1.479549717
10.00143833	1.460382275
